player.playerId,player.player.player.givenName,player.player.player.surname,ID
CD_I200083,Robert,Murphy,468
CD_I200032,Matthew,Pavlich,544
CD_I200035,Corey,Enright,621
CD_I210016,Scott,Thompson,755
CD_I960491,Brent,Harvey,788
CD_I210023,Drew,Petrie,806
CD_I210001,Nick,Riewoldt,981
CD_I220001,Gary,Ablett,1105
CD_I220007,Jimmy,Bartel,1106
CD_I210027,Ted,Richards,1119
CD_I210012,Shaun,Burgoyne,1126
CD_I220023,Nick,Dal Santo,1132
CD_I220047,Luke,Hodge,1134
CD_I220073,Sam,Mitchell,1135
CD_I220075,Leigh,Montagna,1137
CD_I220054,Steve,Johnson,1140
CD_I220058,James,Kelly,1141
CD_I240072,Heath,Grundy,1401
CD_I220110,Jarrad,Waite,1418
CD_I220096,Aaron,Sandilands,1421
CD_I220052,Mark,Jamar,1425
CD_I230232,Daniel,Wells,1427
CD_I230084,Brendon,Goddard,1443
CD_I220010,Matthew,Boyd,1450
CD_I230195,Jay,Schulz,1451
CD_I230202,Kade,Simpson,1456
CD_I230272,Michael,Firrito,1457
CD_I220105,Dane,Swan,1460
CD_I230231,Jobe,Watson,1461
CD_I230255,Will,Minson,2332
CD_I240370,Richard,Douglas,2381
CD_I250222,Nathan,Jones,2447
CD_I240027,Brent,Stanton,3939
CD_I230041,Adam,Cooney,3940
CD_I230253,Jarrad,McVeigh,3950
CD_I230248,Andrew,Mackie,3958
CD_I240180,Troy,Chaplin,3962
CD_I240014,Andrew,Walker,3969
CD_I240062,Farren,Ray,3974
CD_I240708,Sam,Fisher,3975
CD_I240087,Jed,Adcock,3976
CD_I240159,Sam,Butler,3983
CD_I240712,Michael,Rischitelli,4047
CD_I240060,Eddie,Betts,4060
CD_I240290,Angus,Monfries,4061
CD_I240399,Lance,Franklin,4065
CD_I240336,Brett,Deledio,4068
CD_I230147,Daniel,Merrett,4072
CD_I230243,Sean,Dempster,4073
CD_I250118,Nathan,Van Berlo,4075
CD_I250089,Jordan,Lewis,4077
CD_I240357,Jarryd,Roughead,4078
CD_I240156,Ryan,Griffen,4080
CD_I230107,Michael,Johnson,4083
CD_I250712,Dale,Morris,4084
CD_I240366,Travis,Cloke,4086
CD_I240052,David,Mundy,4088
CD_I230125,Tom,Lonergan,4110
CD_I240119,Mark,LeCras,4114
CD_I230048,Ryan,Crowley,4115
CD_I230132,Nick,Malceski,4117
CD_I240700,Heath,Shaw,4132
CD_I250111,Matt,Rosa,4133
CD_I240073,Heritier,Lumumba,4134
CD_I250063,Danyle,Pearce,4137
CD_I240552,Zac,Dawson,4141
CD_I250703,James,Gwilt,4143
CD_I250267,Paddy,Ryder,4144
CD_I250715,Josh,Gibson,4145
CD_I240393,Mitch,Clark,4146
CD_I250105,Marc,Murphy,4148
CD_I240302,Grant,Birchall,4149
CD_I261142,Bernie,Vince,4151
CD_I240359,Dale,Thomas,4152
CD_I240283,Shannon,Hurn,4162
CD_I240546,Ivan,Maric,4165
CD_I250548,Lynden,Dunn,4166
CD_I240406,Josh J.,Kennedy,4169
CD_I240245,Courtenay,Dempsey,4173
CD_I240417,Andrew,Swallow,4176
CD_I250134,Sam,Gilbert,4178
CD_I230170,Joel,Patfull,4179
CD_I260227,Shaun,Higgins,4180
CD_I230214,Mathew,Stokes,4181
CD_I260257,Scott,Pendlebury,4182
CD_I230140,Ben,McGlynn,4184
CD_I240389,Matthew,White,4185
CD_I240124,Matt,Priddis,4186
CD_I250688,Alipate,Carlile,4200
CD_I994385,Jayden,Hunt,4729
CD_I990424,Jarrod,Garlett,5488
CD_I290228,Kyle,Hartigan,6623
CD_I250088,Jonathon,Griffin,11534
CD_I250417,Bryce,Gibbs,11535
CD_I250321,Joel,Selwood,11538
CD_I250257,Xavier,Ellis,11539
CD_I261909,Lindsay,Thomas,11540
CD_I250373,Lachlan,Hansen,11542
CD_I261083,Nathan,Krakouer,11545
CD_I240226,Kieren,Jack,11546
CD_I261510,Tom,Hawkins,11548
CD_I250290,Travis,Varcoe,11549
CD_I260303,Mitchell,Brown,11550
CD_I240419,Alan,Toovey,11553
CD_I240254,Jarrod,Harbrow,11555
CD_I260930,Shane,Edwards,11557
CD_I270830,Colin,Garland,11560
CD_I250312,Bachar,Houli,11566
CD_I260246,Tyson,Goldsack,11568
CD_I250340,David,Armitage,11570
CD_I260288,James,Frawley,11575
CD_I250395,Jack,Riewoldt,11576
CD_I261396,Robbie,Gray,11578
CD_I260750,Justin,Westhoff,11579
CD_I250268,Garrick,Ibbotson,11580
CD_I250365,Travis,Boak,11583
CD_I240232,Ben,Reid,11589
CD_I261257,Andrejs,Everitt,11591
CD_I250335,Matthew,Leuenberger,11593
CD_I250298,Shaun,Grigg,11594
CD_I250317,Eric,Mackenzie,11596
CD_I261209,Josh,Hill,11602
CD_I261214,Will,Schofield,11605
CD_I261043,Michael,Jamison,11610
CD_I250569,Heath,Hocking,11616
CD_I270737,Shaun,Hampson,11619
CD_I260261,Trent,West,11625
CD_I270779,Paul,Stewart,11626
CD_I260310,Nathan,Brown,11627
CD_I260113,Jarryn,Geary,11630
CD_I260955,Cyril,Rioli,11632
CD_I270742,Kurt,Tippett,11633
CD_I250362,David,Mackay,11634
CD_I261212,Craig,Bird,11635
CD_I281395,Scott D.,Thompson,11636
