Season,Round,Date,Home.team,Away.team,providerId
2016,1,24/03/2016,Richmond,Carlton,CD_M20160140101
2016,1,26/03/2016,Melbourne,Greater Western Sydney,CD_M20160140102
2016,1,26/03/2016,Gold Coast,Essendon,CD_M20160140103
2016,1,26/03/2016,North Melbourne,Adelaide,CD_M20160140104
2016,1,26/03/2016,Sydney,Collingwood,CD_M20160140105
2016,1,27/03/2016,Western Bulldogs,Fremantle,CD_M20160140106
2016,1,27/03/2016,Port Adelaide,St Kilda,CD_M20160140108
2016,1,27/03/2016,West Coast,Brisbane Lions,CD_M20160140107
2016,1,28/03/2016,Geelong,Hawthorn,CD_M20160140109
2016,2,1/04/2016,Collingwood,Richmond,CD_M20160140201
2016,2,2/04/2016,Adelaide,Port Adelaide,CD_M20160140205
2016,2,2/04/2016,Essendon,Melbourne,CD_M20160140202
2016,2,2/04/2016,Brisbane Lions,North Melbourne,CD_M20160140203
2016,2,2/04/2016,St Kilda,Western Bulldogs,CD_M20160140206
2016,2,2/04/2016,Fremantle,Gold Coast,CD_M20160140204
2016,2,3/04/2016,Greater Western Sydney,Geelong,CD_M20160140207
2016,2,3/04/2016,Hawthorn,West Coast,CD_M20160140209
2016,2,3/04/2016,Carlton,Sydney,CD_M20160140208
2016,3,8/04/2016,Port Adelaide,Essendon,CD_M20160140301
2016,3,9/04/2016,St Kilda,Collingwood,CD_M20160140305
2016,3,9/04/2016,Richmond,Adelaide,CD_M20160140302
2016,3,9/04/2016,Sydney,Greater Western Sydney,CD_M20160140303
2016,3,9/04/2016,Gold Coast,Carlton,CD_M20160140306
2016,3,9/04/2016,West Coast,Fremantle,CD_M20160140304
2016,3,10/04/2016,North Melbourne,Melbourne,CD_M20160140307
2016,3,10/04/2016,Western Bulldogs,Hawthorn,CD_M20160140309
2016,3,10/04/2016,Geelong,Brisbane Lions,CD_M20160140308
2016,4,15/04/2016,West Coast,Richmond,CD_M20160140401
2016,4,16/04/2016,Essendon,Geelong,CD_M20160140405
2016,4,16/04/2016,Hawthorn,St Kilda,CD_M20160140402
2016,4,16/04/2016,Brisbane Lions,Gold Coast,CD_M20160140403
